,gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,redKDR,blueKDR,diffblueWardsPlaced,diffblueWardsDestroyed,diffblueFirstBlood,diffblueKills,diffblueDeaths,diffblueAssists,diffblueEliteMonsters,diffblueDragons,diffblueHeralds,diffblueTowersDestroyed,diffblueTotalGold,diffblueAvgLevel,diffblueTotalExperience,diffblueTotalMinionsKilled,diffblueTotalJungleMinionsKilled,diffblueGoldDiff,diffblueExperienceDiff,diffblueCSPerMin,diffblueGoldPerMin,diffblueKDR,bluevredEliteMonsters,bluevredTowersDestroyed,bluevredWardsPlaced
0,4519157822,0,28,2,1,9,6,11,0,0,0,0,17210,6.6,17039,195,36,643,-8,19.5,1721.0,15,6,0,6,9,8,0,0,0,0,16567,6.8,17047,197,55,-643,8,19.7,1656.7,1.1111111111111112,2.4166666666666665,13,-4,1,3,-3,3,0,0,0,0,643,-0.20000000000000018,-8,-2,-19,1286,-16,-0.1999999999999993,64.29999999999995,1.3055555555555554,equal,equal,greater
1,4523371949,0,12,1,0,5,5,5,0,0,0,0,14712,6.6,16265,174,43,-2908,-1173,17.4,1471.2,12,1,1,5,5,2,2,1,1,1,17620,6.8,17438,240,52,2908,1173,24.0,1762.0,1.2,1.5,0,0,-1,0,0,3,-2,-1,-1,-1,-2908,-0.20000000000000018,-1173,-66,-9,-5816,-2346,-6.600000000000001,-290.79999999999995,0.30000000000000004,less,less,equal
2,4521474530,0,15,0,0,7,11,4,1,1,0,0,16113,6.4,16221,186,46,-1172,-1033,18.6,1611.3,15,3,1,11,7,14,0,0,0,0,17285,6.8,17254,203,28,1172,1033,20.3,1728.5,2.5714285714285716,0.8181818181818182,0,-3,-1,-4,4,-10,1,1,0,0,-1172,-0.39999999999999947,-1033,-17,18,-2344,-2066,-1.6999999999999993,-117.20000000000005,-1.7532467532467533,greater,equal,equal
3,4524384067,0,43,1,0,4,5,5,1,0,1,0,15157,7.0,17954,201,55,-1321,-7,20.1,1515.7,15,2,1,5,4,10,0,0,0,0,16478,7.0,17961,235,47,1321,7,23.5,1647.8,2.5,1.3,28,-1,-1,-1,1,-5,1,0,1,0,-1321,0.0,-7,-34,8,-2642,-14,-3.3999999999999986,-132.0999999999999,-1.2,greater,equal,greater
4,4436033771,0,75,4,0,6,6,6,0,0,0,0,16400,7.0,18543,210,57,-1004,230,21.0,1640.0,17,2,1,6,6,7,1,1,0,0,17404,7.0,18313,225,67,1004,-230,22.5,1740.4,1.5833333333333333,1.5,58,2,-1,0,0,-1,-1,-1,0,0,-1004,0.0,230,-15,-10,-2008,460,-1.5,-100.40000000000009,-0.08333333333333326,less,equal,greater
5,4475365709,1,18,0,0,5,3,6,1,1,0,0,15899,7.0,18161,225,42,698,101,22.5,1589.9,36,5,1,3,5,2,0,0,0,0,15201,7.0,18060,221,59,-698,-101,22.1,1520.1,0.8,2.6666666666666665,-18,-5,-1,2,-2,4,1,1,0,0,698,0.0,101,4,-17,1396,202,0.3999999999999986,69.80000000000018,1.8666666666666665,greater,equal,less
6,4493010632,1,18,3,1,7,6,7,1,1,0,0,16874,6.8,16967,225,53,2411,1563,22.5,1687.4,57,1,0,6,7,9,0,0,0,0,14463,6.4,15404,164,35,-2411,-1563,16.4,1446.3,1.5,1.75,-39,2,1,1,-1,-2,1,1,0,0,2411,0.39999999999999947,1563,61,18,4822,3126,6.100000000000001,241.10000000000014,0.25,greater,equal,less
7,4496759358,0,16,2,0,5,13,3,0,0,0,0,15305,6.4,16138,209,48,-2615,-800,20.9,1530.5,15,0,1,13,5,11,1,1,0,0,17920,6.6,16938,157,54,2615,800,15.7,1792.0,3.7,0.5,1,2,-1,-8,8,-8,-1,-1,0,0,-2615,-0.1999999999999993,-800,52,-6,-5230,-1600,5.199999999999999,-261.5,-3.2,less,equal,greater
8,4443048030,0,16,3,0,7,7,8,0,0,0,0,16401,7.2,18527,189,61,-1979,-771,18.9,1640.1,15,2,1,7,7,5,2,1,1,0,18380,7.2,19298,240,53,1979,771,24.0,1838.0,1.3571428571428572,1.5714285714285714,1,1,-1,0,0,3,-2,-1,-1,0,-1979,0.0,-771,-51,8,-3958,-1542,-5.100000000000001,-197.9000000000001,0.2142857142857142,less,equal,greater
9,4509433346,1,13,1,1,4,5,5,1,1,0,0,15057,6.8,16805,220,39,-1548,-1574,22.0,1505.7,16,2,0,5,4,4,0,0,0,0,16605,6.8,18379,247,43,1548,1574,24.7,1660.5,1.75,1.3,-3,-1,1,-1,1,1,1,1,0,0,-1548,0.0,-1574,-27,-4,-3096,-3148,-2.6999999999999993,-154.79999999999995,-0.44999999999999996,greater,equal,less
